store_id,product_id,dt,first_category_id,third_category_id,city_id,sale_amount,discount,stock_hour6_22_cnt,holiday_flag,activity_flag,precpt,avg_temperature,stockout_rate,daily_sales,week
23,351,2024-04-18,4,142,10,0.8,1.0,4,0,0,1.3321,18.7,0.5,0.8,16
189,136,2024-05-07,4,161,0,0.5,0.799,0,0,1,0.7694,21.08,0.0,0.5,19
642,530,2024-06-04,31,230,13,0.8,1.0,0,0,0,6.7654,27.29,0.0,0.8,23
610,775,2024-06-20,4,167,12,1.9,0.584,0,0,1,8.786,28.28,0.0,1.9,25
824,309,2024-04-24,20,229,7,0.2,1.0,12,0,0,18.1918,24.69,0.5833333333333334,0.2,17
447,655,2024-05-16,25,213,12,0.5,1.0,0,0,0,2.2796,24.17,0.0,0.5,20
129,215,2024-05-13,4,149,0,4.5,0.75,0,0,1,1.525,22.56,0.20833333333333334,4.5,20
406,21,2024-05-22,4,81,0,1.0,0.922,5,0,1,1.736,23.07,0.2916666666666667,1.0,21
603,122,2024-04-22,20,127,12,0.45999999999999996,1.0,0,0,0,3.4181,19.33,0.041666666666666664,0.4600000000000001,17
615,596,2024-05-22,29,60,11,0.8,0.791,12,0,0,1.181,24.68,0.75,0.8,21
549,191,2024-06-18,4,81,16,2.0,0.732,0,0,1,16.7598,26.88,0.0,2.0,25
453,699,2024-06-15,30,191,12,0.9,0.945,0,1,0,7.6208,27.04,0.0,0.9,24
60,223,2024-04-13,20,172,0,1.0,0.85,0,1,1,3.2576,18.64,0.0,1.0,15
224,344,2024-05-08,16,95,12,0.4,1.0,1,0,0,1.7294,22.16,0.25,0.4,19
333,715,2024-04-14,10,190,16,0.6,1.0,5,1,0,3.301,18.0,0.2916666666666667,0.6000000000000001,15
758,554,2024-06-02,4,168,0,1.5,0.886,0,1,1,1.7646,24.18,0.0,1.5,22
8,554,2024-04-05,4,168,0,0.6,1.0,10,1,0,1.9091,16.24,0.5,0.6,14
436,682,2024-06-17,10,173,0,0.9,0.625,3,0,1,7.8907,27.14,0.20833333333333334,0.9,25
122,26,2024-05-26,4,156,6,0.09,1.0,0,1,0,2.0832,22.56,0.0,0.09,21
621,79,2024-06-06,4,10,0,0.0,0.7210000157356262,0,0,1,0.809,25.04,0.16666666666666666,0.0,23
823,4,2024-04-30,29,82,3,0.7,0.841,5,0,1,0.9499,19.78,0.2916666666666667,0.7,18
219,345,2024-05-18,16,96,12,0.6,0.677,0,1,1,0.7099,23.99,0.20833333333333334,0.6000000000000001,20
712,340,2024-04-25,18,112,3,0.4,1.0,0,0,1,0.1429,20.38,0.25,0.4,17
519,549,2024-05-23,31,230,16,0.5,1.0,0,0,0,1.716,25.18,0.0,0.5,21
314,806,2024-04-07,21,184,0,0.4,1.0,0,0,0,1.626,17.13,0.0,0.4,14
736,345,2024-04-02,16,96,0,0.6,0.799,8,0,1,3.6777,16.56,0.5833333333333334,0.6000000000000001,14
307,740,2024-04-23,29,60,0,1.1,0.995,0,0,0,1.4428,18.17,0.0,1.1,17
679,567,2024-04-10,20,59,0,0.8,0.808,5,0,1,2.2483,18.02,0.4583333333333333,0.8,15
279,500,2024-04-22,4,179,16,1.2,0.666,0,0,1,1.2219,18.7,0.041666666666666664,1.2,17
647,580,2024-04-22,29,60,0,1.2,0.988,0,0,0,2.0205,18.08,0.125,1.2000000000000002,17
472,715,2024-04-05,10,190,6,0.4,1.0,0,1,0,2.2036,16.67,0.0,0.4,14
577,21,2024-06-13,4,81,0,0.7,0.928,0,0,1,7.55,26.48,0.0,0.7000000000000001,24
241,746,2024-05-08,27,4,0,0.3,1.0,0,0,0,0.836,20.88,0.0,0.30000000000000004,19
118,291,2024-04-10,16,98,0,1.2,0.863,2,0,1,1.2948,17.72,0.2916666666666667,1.2000000000000002,15
626,531,2024-05-16,16,105,13,0.6,0.743,16,0,1,12.7474,25.86,0.8333333333333334,0.6,20
750,110,2024-04-13,31,121,0,0.0,1.0,16,1,0,2.1409,18.54,1.0,0.0,15
477,683,2024-05-29,31,230,6,0.1,0.882,0,0,0,1.2387,21.51,0.0,0.1,22
515,118,2024-04-30,4,180,6,1.5,0.767,0,0,1,2.7571,19.25,0.0,1.5,18
55,600,2024-03-30,29,157,0,0.9,0.983,5,1,0,2.0879,15.92,0.5416666666666666,0.9,13
311,662,2024-05-14,10,83,0,0.7,0.939,0,0,0,0.8162,22.19,0.20833333333333334,0.7000000000000001,20
409,314,2024-06-15,16,94,12,2.0,0.937,0,1,1,7.5975,27.11,0.0,2.0,24
704,84,2024-04-09,8,113,0,1.1,0.9,6,0,1,3.6508,16.69,0.5,1.0999999999999999,15
628,699,2024-05-23,30,191,0,0.5,0.972,0,0,0,1.316,23.5,0.0,0.5,21
14,836,2024-06-19,28,154,8,0.7,1.0,0,0,0,3.5769,28.14,0.0,0.7000000000000001,25
256,554,2024-06-04,4,168,0,1.1,0.894,0,0,1,1.2603,24.3,0.25,1.1,23
773,864,2024-04-03,20,229,13,0.4,1.0,0,0,0,0.6032,25.6,0.0,0.4,14
235,563,2024-05-14,16,105,0,0.5,0.89,2,0,1,0.818,22.19,0.375,0.5,20
130,580,2024-06-12,29,60,12,1.2,1.0,0,0,0,8.6782,25.93,0.0,1.2000000000000002,24
126,223,2024-06-24,20,172,0,0.6,1.0,7,0,0,11.2245,26.58,0.5833333333333334,0.6000000000000001,26
450,143,2024-05-22,18,110,12,0.9,1.0,5,0,0,1.4832,23.24,0.2916666666666667,0.9,21
196,740,2024-05-02,29,60,0,1.6,1.0,2,1,0,1.4965,20.17,0.2916666666666667,1.6,18
95,76,2024-04-13,8,113,0,2.0,0.882,3,1,1,2.141,18.54,0.20833333333333334,2.0,15
632,768,2024-04-01,5,6,11,0.6,0.559,0,0,0,2.7406,16.78,0.0,0.6,14
229,645,2024-06-12,24,139,0,0.7,1.0,0,0,0,6.5295,26.39,0.16666666666666666,0.7000000000000001,24
499,689,2024-06-07,31,230,6,0.4,1.0,0,0,0,3.0953,24.45,0.0,0.4,23
308,768,2024-06-10,5,6,0,0.6,0.61,0,1,0,5.1685,25.73,0.0,0.6,24
311,387,2024-06-19,31,128,0,1.5,1.0,0,0,0,15.2573,25.25,0.0,1.5,25
551,422,2024-04-10,16,101,0,0.5,0.951,8,0,0,1.3037,17.72,0.5416666666666666,0.5,15
471,127,2024-05-30,20,172,0,1.0,1.0,0,0,0,1.2267,23.31,0.0,1.0,22
576,489,2024-04-25,21,123,16,0.5,1.0,0,0,0,2.6442,20.44,0.0,0.5,17
144,118,2024-04-26,4,180,0,1.8,0.712,0,0,1,2.3273,19.39,0.0,1.8,17
562,300,2024-06-07,20,24,0,6.6,0.995,0,0,0,1.8149,25.69,0.0,6.6,23
145,16,2024-06-25,8,113,0,0.7,0.752,12,0,1,11.679,27.62,0.5833333333333334,0.7000000000000001,26
415,596,2024-06-18,29,60,16,1.0,0.749,0,0,1,16.7043,26.56,0.16666666666666666,1.0,25
9,757,2024-05-11,20,183,15,0.0,1.0,16,1,0,2.2234,22.2,1.0,0.0,19
713,79,2024-06-04,4,10,0,0.3,0.721,0,0,1,1.4598,24.23,0.08333333333333333,0.30000000000000004,23
817,220,2024-05-01,8,113,13,0.4,0.599,6,1,1,8.8633,26.32,0.5833333333333334,0.4,18
81,207,2024-05-12,4,179,0,1.3,0.869,4,1,1,0.6395,21.94,0.25,1.3,19
302,291,2024-04-15,16,98,0,0.2,0.8040000200271606,0,0,1,2.6316,18.2,0.20833333333333334,0.2,16
530,140,2024-05-26,4,10,0,0.4,0.646,11,1,1,0.6817,22.77,0.75,0.4,21
339,600,2024-04-07,29,157,6,0.2,1.0,14,0,0,1.9556,17.93,0.7916666666666666,0.2,14
382,738,2024-06-19,4,81,0,0.9,0.757,0,0,1,14.1746,25.83,0.0,0.9000000000000001,25
396,317,2024-06-17,10,72,13,1.2,0.987,0,0,0,3.1581,29.37,0.25,1.2000000000000002,25
272,215,2024-06-18,4,149,5,2.4,0.601,0,0,1,13.527,26.45,0.0,2.4,25
326,11,2024-04-03,18,86,11,0.4,1.0,7,0,0,2.3772,17.77,0.625,0.4,14
556,363,2024-05-07,4,77,0,1.1,0.99,0,0,0,0.2737,21.2,0.25,1.1,19
164,774,2024-06-24,4,77,0,0.4,0.726,12,0,1,11.2199,26.31,0.75,0.4,26
876,716,2024-06-17,31,192,12,0.4,1.0,0,0,0,5.8036,27.46,0.0,0.4,25
565,150,2024-06-01,8,116,16,0.6,1.0,0,1,0,1.348,24.41,0.0,0.6000000000000001,22
326,215,2024-04-25,4,149,11,2.5,0.677,0,0,1,2.655,21.03,0.0,2.5,17
692,500,2024-05-22,4,179,0,0.6,0.75,0,0,1,1.7387,22.81,0.0,0.6000000000000001,21
607,70,2024-04-16,4,81,16,0.2,0.459,15,0,1,2.7748,18.88,0.9583333333333334,0.2,16
357,638,2024-06-05,16,94,12,1.1,0.869,2,0,1,2.5642,25.14,0.4166666666666667,1.1,23
255,215,2024-06-08,4,149,0,4.2,0.482,0,1,1,3.5256,24.38,0.041666666666666664,4.2,23
420,775,2024-05-16,4,167,0,1.1,0.75,9,0,1,2.0512,23.52,0.7083333333333334,1.1,20
162,93,2024-05-12,21,223,0,1.0,0.85,6,1,1,0.6364,22.37,0.4583333333333333,1.0,19
438,486,2024-05-18,20,63,0,1.9,0.675,4,1,1,1.7788,23.57,0.16666666666666666,1.9000000000000001,20
597,473,2024-05-31,7,46,0,0.7,1.0,4,0,0,1.9715,23.56,0.4583333333333333,0.7,22
258,486,2024-05-11,20,63,0,2.4,0.675,2,1,1,2.1743,21.24,0.2916666666666667,2.4000000000000004,19
263,415,2024-05-31,7,42,0,0.6,1.0,0,0,0,2.4774,23.15,0.25,0.6,22
62,90,2024-04-08,4,77,0,0.8,1.0,12,0,0,1.4183,17.41,0.8333333333333334,0.8,15
96,26,2024-04-17,4,156,0,1.2,0.909,0,0,1,1.5731,18.65,0.0,1.2000000000000002,16
829,847,2024-06-06,20,229,0,0.6,1.0,3,0,0,0.9232,25.24,0.4583333333333333,0.6,23
18,525,2024-05-04,15,88,0,0.1,1.0,1,1,0,2.7325,21.89,0.125,0.1,18
349,804,2024-03-30,16,101,12,0.47000000000000003,1.0,0,1,0,3.4924,16.6,0.0,0.47,13
803,403,2024-04-03,16,104,3,0.5,0.816,4,0,0,0.9587,16.12,0.5,0.5,14
699,247,2024-06-20,16,94,0,0.8,0.832,7,0,1,9.7382,27.55,0.625,0.8,25
256,580,2024-05-10,29,60,0,1.4,1.0,0,0,0,1.6225,20.46,0.0,1.4,19
283,67,2024-05-29,18,112,16,0.5,1.0,3,0,0,0.5375,24.22,0.4166666666666667,0.5,22
736,116,2024-05-23,10,177,0,0.4,0.915,0,0,0,1.3148,24.26,0.16666666666666666,0.4,21
419,44,2024-06-18,20,183,3,2.8,1.0,0,0,0,3.2,29.21,0.0,2.8,25
214,600,2024-04-27,29,157,0,1.6,0.932,11,1,0,1.5732,19.48,0.7083333333333334,1.6,17
434,797,2024-04-29,4,163,0,1.3,0.565,0,0,1,2.3719,20.43,0.0,1.3,18
624,194,2024-06-11,18,109,11,0.3,0.84,0,0,1,5.5591,26.38,0.0,0.30000000000000004,24
863,295,2024-04-15,16,106,4,0.4,1.0,0,0,0,3.0264,18.65,0.0,0.4,16
446,797,2024-03-29,4,163,0,0.0,1.0,0,0,0,3.0062,15.45,0.25,0.0,13
556,258,2024-05-26,31,121,0,0.4,1.0,0,1,0,0.8613,23.28,0.0,0.4,21
800,302,2024-04-22,20,183,3,1.0,0.65,0,0,1,0.2652,18.81,0.0,1.0,17
533,11,2024-05-08,18,86,11,1.1,0.82,0,0,1,1.4976,21.61,0.0,1.0999999999999999,19
862,864,2024-05-09,20,229,7,1.2,1.0,0,0,0,8.2491,24.88,0.0,1.2000000000000002,19
199,26,2024-04-01,4,156,0,0.5,0.909,0,0,1,3.3336,16.01,0.0,0.5,14
161,110,2024-04-12,31,121,0,1.0,0.975,0,0,0,4.729,18.15,0.0,1.0,15
191,41,2024-06-07,4,77,0,0.9,0.883,0,0,1,1.8193,25.63,0.0,0.9,23
