日期,订单数,销售额,客单价,新客占比,退货率,折扣率
2026-01-01,145,25122,181.0,0.43,0.051,0.22
2026-01-02,161,27489,230.0,0.53,0.464,0.17
2026-01-03,141,32255,190.0,0.23,0.054,0.07
2026-01-04,162,29796,173.0,0.29,0.049,0.15
2026-01-05,174,35765,205.0,0.35,0.086,0.07
2026-01-06,151,21163,114.0,0.32,0.111,0.13
2026-01-07,159,29361,187.0,0.11,0.102,0.13
2026-01-08,167,25916,203.0,0.23,0.108,0.06
2026-01-09,175,35949,136.0,0.45,0.14,0.12
2026-01-10,165,20958,214.0,0.25,0.057,0.07
2026-01-11,173,20801,190.0,0.53,0.005,0.21
2026-01-12,164,22003,168.0,0.45,0.184,0.24
2026-01-13,180,14380,199.0,0.25,0.072,0.06
2026-01-14,182,22371,248.0,0.22,0.014,0.24
2026-01-15,172,21204,185.0,0.15,0.09,0.15
2026-01-16,186,25751,187.0,0.15,0.088,0.11
2026-01-17,162,26708,166.0,0.25,0.01,0.07
2026-01-18,170,34380,155.0,0.22,0.098,0.15
2026-01-19,172,29752,205.0,0.26,0.038,0.21
2026-01-20,180,22115,154.0,0.43,0.004,0.19
2026-01-21,180,20507,182.0,0.14,0.071,0.06
2026-01-22,155,27459,166.0,0.27,0.032,0.06
2026-01-23,145,18398,194.0,0.25,0.213,0.13
2026-01-24,168,34157,190.0,0.15,0.058,0.11
2026-01-25,183,30897,211.0,0.52,0.015,0.1
2026-01-26,159,22654,165.0,0.18,0.07,0.11
2026-01-27,150,16434,172.0,0.33,0.129,0.21
2026-01-28,172,31769,151.0,0.24,0.193,0.24
2026-01-29,168,24427,167.0,0.29,0.34,0.13
2026-01-30,167,31189,191.0,0.33,0.273,0.23
2026-01-31,149,17027,203.0,0.17,0.039,0.11
2026-02-01,166,22003,152.0,0.21,0.005,0.15
2026-02-02,142,25026,206.0,0.63,0.004,0.1
2026-02-03,138,25234,221.0,0.24,0.069,0.18
2026-02-04,151,22749,192.0,0.27,0.002,0.25
2026-02-05,156,28114,236.0,0.34,0.236,0.17
2026-02-06,119,19661,157.0,0.4,0.045,0.12
2026-02-07,144,24288,143.0,0.25,0.045,0.18
2026-02-08,141,25601,127.0,0.37,0.04,0.07
2026-02-09,130,27572,225.0,0.31,0.05,0.23
2026-02-10,120,28558,200.0,0.22,0.016,0.15
2026-02-11,144,19376,178.0,0.21,0.21,0.14
2026-02-12,120,17329,188.0,0.35,0.087,0.17
2026-02-13,112,31388,146.0,0.22,0.079,0.17
2026-02-14,113,26661,253.0,0.37,0.101,0.06
2026-02-15,143,21257,184.0,0.19,0.183,0.19
2026-02-16,125,32755,183.0,0.49,0.04,0.1
2026-02-17,132,25578,202.0,0.28,0.011,0.19
2026-02-18,138,30896,194.0,0.13,0.192,0.21
2026-02-19,113,25337,187.0,0.1,0.026,0.21
2026-02-20,110,35303,156.0,0.38,0.014,0.16
2026-02-21,119,33776,194.0,0.22,0.034,0.15
2026-02-22,106,23755,236.0,0.46,0.217,0.08
2026-02-23,150,29857,220.0,0.43,0.29,0.21
2026-02-24,127,28226,228.0,0.29,0.003,0.1
2026-02-25,123,31843,165.0,0.43,0.104,0.15
2026-02-26,164,20175,150.0,0.44,0.009,0.11
2026-02-27,133,28430,176.0,0.49,0.127,0.08
2026-02-28,128,30292,182.0,0.23,0.05,0.18
2026-03-01,142,16206,213.0,0.1,0.085,0.06
2026-03-02,114,19083,129.0,0.04,0.126,0.2
2026-03-03,163,14803,226.0,0.43,0.021,0.11
2026-03-04,132,23652,175.0,0.28,0.122,0.05
2026-03-05,156,28587,167.0,0.16,0.042,0.15
2026-03-06,143,32511,150.0,0.31,0.021,0.06
2026-03-07,151,25370,130.0,0.28,0.128,0.11
2026-03-08,164,33143,205.0,0.3,0.08,0.19
2026-03-09,142,18099,182.0,0.25,0.149,0.06
2026-03-10,157,16483,141.0,0.4,0.265,0.22
2026-03-11,173,24722,141.0,0.16,0.106,0.05
2026-03-12,169,26920,170.0,0.26,0.276,0.1
2026-03-13,176,24836,230.0,0.2,0.094,0.2
2026-03-14,180,14662,172.0,0.37,0.163,0.11
2026-03-15,199,24554,135.0,0.19,0.14,0.07
2026-03-16,170,18477,173.0,0.13,0.137,0.12
2026-03-17,200,28348,172.0,0.34,0.131,0.1
2026-03-18,170,26832,99.0,0.32,0.086,0.22
2026-03-19,192,20300,178.0,0.12,0.094,0.11
2026-03-20,180,22430,173.0,0.46,0.015,0.21
2026-03-21,160,19703,201.0,0.33,0.074,0.23
2026-03-22,198,24686,235.0,0.23,0.176,0.14
2026-03-23,173,29775,214.0,0.07,0.047,0.23
2026-03-24,186,20071,172.0,0.41,0.093,0.13
2026-03-25,194,27520,147.0,0.32,0.151,0.24
2026-03-26,180,22348,257.0,0.36,0.025,0.07
2026-03-27,177,21035,182.0,0.03,0.031,0.19
2026-03-28,153,24464,180.0,0.24,0.223,0.15
2026-03-29,171,19823,179.0,0.44,0.004,0.13
2026-03-30,172,22231,186.0,0.34,0.088,0.18
2026-03-31,173,19010,176.0,0.24,0.027,0.19
2026-04-01,156,34823,163.0,0.26,0.154,0.05
2026-04-02,164,25176,164.0,0.27,0.063,0.08
2026-04-03,162,21501,179.0,0.44,0.077,0.19
2026-04-04,134,26069,164.0,0.32,0.061,0.18
2026-04-05,141,24438,159.0,0.23,0.144,0.24
